gt_source_id	source_class	structure_id	path	sha256	checksum_status	schema_locator	physical_unit_id	physical_link_status	geometry_locator	provenance_status	provenance_locator	overlap_status	overlap_locator	same_assay_status	audit_status	notes
STOMICS_TLS_ANNOTATION::08	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006853/GSM5924042_frozen_a_1_TLS_annotation.csv.gz	29264231e52f7a9b28fdb2661ddd69a4739a83f1120ccf6eff134f1b59e49bd8	VERIFIED	gzip-csv header:Barcode,TLS		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::09	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006854/GSM5924043_frozen_a_3_TLS_annotation.csv.gz	b9b4ad38df40c0a11d5b28e9fa1d1381192f1bdb6e2dc1f9c263faa229322e6f	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::10	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006855/GSM5924044_frozen_a_15_TLS_annotation.csv.gz	f3696860bd5b21ca7250f9dff173e5b47cab62f8d4b93edb7770e7c7339b3944	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::11	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006856/GSM5924045_frozen_a_17_TLS_annotation.csv.gz	ad999e0bb5eb1696b1e746002cf2ddb65ff9c133d34452e200a2a8faecf1124c	VERIFIED	gzip-csv header:Barcode,TLS		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::12	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006857/GSM5924046_frozen_b_1_TLS_annotation.csv.gz	92657a5140cfad62976afef5c5b0aa0c5414537301d37de3a90927e7bed32184	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::13	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006858/GSM5924047_frozen_b_7_TLS_annotation.csv.gz	85266750117839debce5e61ca9e74ac317216e074731212443c7092a616f4696	VERIFIED	gzip-csv header:Barcode,TLS		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::14	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006859/GSM5924048_frozen_b_13_TLS_annotation.csv.gz	40a26f0779b78255922737a390bdab771dde377b4efafa0d168b661067d46c24	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::15	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006860/GSM5924049_frozen_b_18_TLS_annotation.csv.gz	aadb89a2e32448df50fef3bc543d2a629574967e44b7279caa3698d66e44c4c3	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::16	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006861/GSM5924050_frozen_c_2_TLS_annotation.csv.gz	c911dd920db30f34c0cd03ced35b5bd8c5e15fecf377d66a917a0c4c521530a5	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::17	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006862/GSM5924051_frozen_c_5_TLS_annotation.csv.gz	712159a6b410a6763ef1b5d32908c994008cbad576d869f31f65ef4a96bf0ff5	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::18	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006863/GSM5924052_frozen_c_23_TLS_annotation.csv.gz	535e4c4cd4dc2ada7ba7aa31bb19ea8c4d40d7008d4bae188e7c642a84b771c8	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
STOMICS_TLS_ANNOTATION::19	STOMICS_TLS_ANNOTATION_CANDIDATE	TLS	data/other_sources/stomicsdb/STDS0000223/stomics/STSP0006864/GSM5924053_frozen_c_57_TLS_annotation.csv.gz	7054251d0073fef174dba3b0b631f746b637da012dbe27282fc64b3cfc55b76c	VERIFIED	gzip-csv header:Barcode,TLS_2_cat		OUTSIDE_R01_FROZEN_CORE		UNRESOLVED		UNKNOWN		UNKNOWN	NOT_AUDITABLE_GT	Header/schema inventory only; file is outside the R-01 frozen core and its patient/block mapping, annotation provenance, geometry and overlap boundary are not closed. Not included in the 57 scoped summaries.
