instance_id	structure_id	logical_unit_id	physical_unit_id	patient_id	block_id	physical_specimen_id	gt_source_id	gt_definition_modality	gt_geometry_locator	boundary_uncertainty	confirmation_status	allowed_use	forbidden_use
TLS_SOURCE::GEO::GSE175540::R15_8	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R16_70	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R16_71	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R16_73	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R18_18	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R19_13	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R21_2	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R3_13	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R3_14	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R3_30	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R3_31	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R4_16	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R5_1	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R5_36	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R5_47	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R6_10	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R6_12	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R6_9	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R7_13	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R8_13	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274557::P10_8	TLS	GEO::GSE274557					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_11	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_20	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_22	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_25	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_3	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P3_7	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P5_10	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE274103::P5_7	TLS	GEO::GSE274103					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE226997::CO10_19	TLS	GEO::GSE226997					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE226997::CO10_20	TLS	GEO::GSE226997					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE226997::CO10_29	TLS	GEO::GSE226997					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE226997::CO12_20	TLS	GEO::GSE226997					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO20_21	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO20_23	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO20_28	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO20_31	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO22_18	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO22_30	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO26_11	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO26_13	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO26_15	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO26_16	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO26_17	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO27_3	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO30_1	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO30_19	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO30_20	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO30_3	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO30_4	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO31_2	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO31_4	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO31_5	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO31_9	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_11	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_50	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_54	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_56	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_58	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_59	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_61	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_64	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_74	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO38_8	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO39_1	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO39_3	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO44_26	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO44_9	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO51_12	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO51_13	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO51_29	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO52_1	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO52_2	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO52_27	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO52_9	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO53_29	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::HTAN_VANDERBILT_CRC::CO53_30	TLS	HTAN_VANDERBILT_CRC					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS::HEISER::6723_4_WD86055::comp01	TLS	HTAN_VANDERBILT_CRC	HTAN::6723_KL_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::a84ce559e0584928		HEISER_PATHOLOGY::6723_4_WD86055::TLS_FOLLICLE	manual pathology annotation on H&E in 10X Loupe Browser (Heiser et al. 2023, PMC10756562)	data/other_sources/htan/spatial_CRC_atlas_repo/resources/ST/6723_4_pathology_annotation.csv#pathology_annotation=lymphoid_follicle	spot-resolution (55 um microwell) manual annotation; per-file annotator identity is not individually attributed; see provenance note	NONCONFIRMATORY_CONTEXT_PRENEOPLASTIC	discovery and context reference only	confirmatory claims, training, validation, localization benchmarks
TLS::HEISER::7003_5_WD87480::comp01	TLS	HTAN_VANDERBILT_CRC	HTAN::7003_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e		HEISER_PATHOLOGY::7003_5_WD87480::TLS_FOLLICLE	manual pathology annotation on H&E in 10X Loupe Browser (Heiser et al. 2023, PMC10756562)	data/other_sources/htan/spatial_CRC_atlas_repo/resources/ST/7003_5_pathology_annotation.csv#pathology_annotation=lymphoid_follicle	spot-resolution (55 um microwell) manual annotation; per-file annotator identity is not individually attributed; see provenance note	CONFIRMATORY	training-fold distance fields, core masking and localization benchmarks within frozen outer splits; molecular-only input budgets	as model input feature or training label; any use with H&E- or image-derived inputs; internal/external validation claims
TLS::HEISER::7319_2_HTA11_08622_A::comp01	TLS	HTAN_VANDERBILT_CRC	HTAN::7319_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN_VANDERBILT_CRC::BLOCK::9ef322c74b6af968		HEISER_PATHOLOGY::7319_2_HTA11_08622_A::TLS_FOLLICLE	manual pathology annotation on H&E in 10X Loupe Browser (Heiser et al. 2023, PMC10756562)	data/other_sources/htan/spatial_CRC_atlas_repo/resources/ST/7319_2_pathology_annotation.csv#pathology_annotation=lymphoid_follicle	spot-resolution (55 um microwell) manual annotation; per-file annotator identity is not individually attributed; see provenance note	NONCONFIRMATORY_CONTEXT_PRENEOPLASTIC	discovery and context reference only	confirmatory claims, training, validation, localization benchmarks
