physical_unit_id	logical_unit_id	patient_id	block_id	physical_specimen_id	identity_granularity	identity_envelope_id	block_group_id	leakage_group_id	primary_role	outer_fold	block_level_eligible	split_status
HTAN::8270_AS_11_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	block::HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494	LINEAGE::HTAN_VANDERBILT_CRC	training	training::890243afe9cc	yes	FROZEN_R02
HTAN::8270_AS_12_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	block::HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494	LINEAGE::HTAN_VANDERBILT_CRC	training	training::890243afe9cc	yes	FROZEN_R02
HTAN::8270_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	HTAN_VANDERBILT_CRC::BLOCK::14d93cda2705ed02		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	block::HTAN_VANDERBILT_CRC::BLOCK::14d93cda2705ed02	LINEAGE::HTAN_VANDERBILT_CRC	training	training::82f113bab8c7	yes	FROZEN_R02
HTAN::8270_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN_VANDERBILT_CRC::BLOCK::001325fc9c03672f		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	block::HTAN_VANDERBILT_CRC::BLOCK::001325fc9c03672f	LINEAGE::HTAN_VANDERBILT_CRC	training	training::6b8142ad2935	yes	FROZEN_R02
HTAN::8270_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	HTAN_VANDERBILT_CRC::BLOCK::6e612a7ae67a3a0e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	block::HTAN_VANDERBILT_CRC::BLOCK::6e612a7ae67a3a0e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::39bca19c92c6	yes	FROZEN_R02
HTAN::8270_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	HTAN_VANDERBILT_CRC::BLOCK::2b02e347e714b565		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	block::HTAN_VANDERBILT_CRC::BLOCK::2b02e347e714b565	LINEAGE::HTAN_VANDERBILT_CRC	training	training::2865689ab84c	yes	FROZEN_R02
HTAN::8270_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN_VANDERBILT_CRC::BLOCK::4ec98b1efd1d21fc		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	block::HTAN_VANDERBILT_CRC::BLOCK::4ec98b1efd1d21fc	LINEAGE::HTAN_VANDERBILT_CRC	training	training::54e32979428f	yes	FROZEN_R02
HTAN::8270_AS_7_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	HTAN_VANDERBILT_CRC::BLOCK::4ec98b1efd1d21fc		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	block::HTAN_VANDERBILT_CRC::BLOCK::4ec98b1efd1d21fc	LINEAGE::HTAN_VANDERBILT_CRC	training	training::54e32979428f	yes	FROZEN_R02
HTAN::8270_AS_8_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN_VANDERBILT_CRC::BLOCK::c17a41778d9af602		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	block::HTAN_VANDERBILT_CRC::BLOCK::c17a41778d9af602	LINEAGE::HTAN_VANDERBILT_CRC	training	training::5c348bcdbde8	yes	FROZEN_R02
HTAN::8270_AS_9_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	block::HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3	LINEAGE::HTAN_VANDERBILT_CRC	training	training::a02a0a7aea10	yes	FROZEN_R02
HTAN::8578_AS_1_filtered_trimmed_WD33469.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	HTAN_VANDERBILT_CRC::BLOCK::61d4e4640994b028		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	block::HTAN_VANDERBILT_CRC::BLOCK::61d4e4640994b028	LINEAGE::HTAN_VANDERBILT_CRC	training	training::620404f959d1	yes	FROZEN_R02
HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN_VANDERBILT_CRC::BLOCK::31cb9c4d65cb7362		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	block::HTAN_VANDERBILT_CRC::BLOCK::31cb9c4d65cb7362	LINEAGE::HTAN_VANDERBILT_CRC	training	training::070083bf2c55	yes	FROZEN_R02
HTAN::8578_AS_1_filtered_trimmed_WD33474.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	HTAN_VANDERBILT_CRC::BLOCK::d3c6372bfbb17eda		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	block::HTAN_VANDERBILT_CRC::BLOCK::d3c6372bfbb17eda	LINEAGE::HTAN_VANDERBILT_CRC	training	training::7b8a9915d61a	yes	FROZEN_R02
HTAN::8578_AS_2_filtered_trimmed_WD84216.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	block::HTAN_VANDERBILT_CRC::BLOCK::51bf8363c2cdb494	LINEAGE::HTAN_VANDERBILT_CRC	training	training::890243afe9cc	yes	FROZEN_R02
HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	block::HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189	LINEAGE::HTAN_VANDERBILT_CRC	training	training::51390c8a3069	yes	FROZEN_R02
HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	block::HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3	LINEAGE::HTAN_VANDERBILT_CRC	training	training::a02a0a7aea10	yes	FROZEN_R02
HTAN::8578_AS_3_filtered_trimmed_WD84221.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN_VANDERBILT_CRC::BLOCK::c4a27621ce00a66e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	block::HTAN_VANDERBILT_CRC::BLOCK::c4a27621ce00a66e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::2216f913f42c	yes	FROZEN_R02
HTAN::8578_AS_3_filtered_trimmed_WD84596.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	HTAN_VANDERBILT_CRC::BLOCK::c17a41778d9af602		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	block::HTAN_VANDERBILT_CRC::BLOCK::c17a41778d9af602	LINEAGE::HTAN_VANDERBILT_CRC	training	training::5c348bcdbde8	yes	FROZEN_R02
HTAN::8578_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	HTAN_VANDERBILT_CRC::BLOCK::550b83604599573d		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	block::HTAN_VANDERBILT_CRC::BLOCK::550b83604599573d	LINEAGE::HTAN_VANDERBILT_CRC	training	training::695dfccc8f85	yes	FROZEN_R02
HTAN::8899_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN_VANDERBILT_CRC::BLOCK::eb8e70c123c1bb62		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	block::HTAN_VANDERBILT_CRC::BLOCK::eb8e70c123c1bb62	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e86fd573e0e2	yes	FROZEN_R02
HTAN::8899_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	HTAN_VANDERBILT_CRC::BLOCK::eb8e70c123c1bb62		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	block::HTAN_VANDERBILT_CRC::BLOCK::eb8e70c123c1bb62	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e86fd573e0e2	yes	FROZEN_R02
HTAN::8899_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN_VANDERBILT_CRC::BLOCK::0e325835a6eb2bfb		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	block::HTAN_VANDERBILT_CRC::BLOCK::0e325835a6eb2bfb	LINEAGE::HTAN_VANDERBILT_CRC	training	training::7d0637ad9f24	yes	FROZEN_R02
HTAN::8899_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	HTAN_VANDERBILT_CRC::BLOCK::0e325835a6eb2bfb		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	block::HTAN_VANDERBILT_CRC::BLOCK::0e325835a6eb2bfb	LINEAGE::HTAN_VANDERBILT_CRC	training	training::7d0637ad9f24	yes	FROZEN_R02
HTAN::8899_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN_VANDERBILT_CRC::BLOCK::82a08620f0e78dfd		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	block::HTAN_VANDERBILT_CRC::BLOCK::82a08620f0e78dfd	LINEAGE::HTAN_VANDERBILT_CRC	training	training::5ebc7da6e358	yes	FROZEN_R02
HTAN::8899_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	HTAN_VANDERBILT_CRC::BLOCK::82a08620f0e78dfd		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	block::HTAN_VANDERBILT_CRC::BLOCK::82a08620f0e78dfd	LINEAGE::HTAN_VANDERBILT_CRC	training	training::5ebc7da6e358	yes	FROZEN_R02
HTAN::8899_AS_7_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN_VANDERBILT_CRC::BLOCK::ffe26a50e15987f9		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	block::HTAN_VANDERBILT_CRC::BLOCK::ffe26a50e15987f9	LINEAGE::HTAN_VANDERBILT_CRC	training	training::c7a49392aa48	yes	FROZEN_R02
HTAN::8899_AS_8_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	HTAN_VANDERBILT_CRC::BLOCK::ffe26a50e15987f9		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	block::HTAN_VANDERBILT_CRC::BLOCK::ffe26a50e15987f9	LINEAGE::HTAN_VANDERBILT_CRC	training	training::c7a49392aa48	yes	FROZEN_R02
TENX::V1_Breast_Cancer_Block_A_Section_1	TENX_V1_BREAST_CANCER_BLOCK_A	TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	TENX_V1_BREAST_CANCER_BLOCK_A::BLOCK::8b7aa042f862ebb4		explicit_patient_block	patient_envelope::TENX_V1_BREAST_CANCER_BLOCK_A::TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	block::TENX_V1_BREAST_CANCER_BLOCK_A::BLOCK::8b7aa042f862ebb4	LINEAGE::TENX_V1_BREAST_CANCER_BLOCK_A	serial_section_validation	serial_section_validation::d8e6899d4aad	yes	FROZEN_R02
TENX::V1_Breast_Cancer_Block_A_Section_2	TENX_V1_BREAST_CANCER_BLOCK_A	TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	TENX_V1_BREAST_CANCER_BLOCK_A::BLOCK::8b7aa042f862ebb4		explicit_patient_block	patient_envelope::TENX_V1_BREAST_CANCER_BLOCK_A::TENX_V1_BREAST_CANCER_BLOCK_A::PATIENT::575bdd5279729260	block::TENX_V1_BREAST_CANCER_BLOCK_A::BLOCK::8b7aa042f862ebb4	LINEAGE::TENX_V1_BREAST_CANCER_BLOCK_A	serial_section_validation	serial_section_validation::d8e6899d4aad	yes	FROZEN_R02
external_geo::GSM6506110	GEO::GSE211956	GSE211956::P1		SAMN30478275	patient_linked_physical_specimen	patient_envelope::GEO::GSE211956::GSE211956::P1		lineage::PRJNA873051	external_validation	external_validation::fe28a2acd745	no	FROZEN_R02
external_geo::GSM6506111	GEO::GSE211956	GSE211956::P2		SAMN30478274	patient_linked_physical_specimen	patient_envelope::GEO::GSE211956::GSE211956::P2		lineage::PRJNA873051	external_validation	external_validation::2f3172307ce0	no	FROZEN_R02
external_geo::GSM6506112	GEO::GSE211956	GSE211956::P3		SAMN30478273	patient_linked_physical_specimen	patient_envelope::GEO::GSE211956::GSE211956::P3		lineage::PRJNA873051	external_validation	external_validation::7fffe3a29da3	no	FROZEN_R02
external_geo::GSM6506113	GEO::GSE211956	GSE211956::P4		SAMN30478272	patient_linked_physical_specimen	patient_envelope::GEO::GSE211956::GSE211956::P4		lineage::PRJNA873051	external_validation	external_validation::82f0a277877b	no	FROZEN_R02
