duplicate_group_id	member_type	member_id	relation_type	evidence_grade	resolution	leakage_group_id
EDGE::2e9de3c0447bfd40	source_record	TENX::Visium_HD_3prime_Human_Pancreatic_Cancer	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2e9de3c0447bfd40
EDGE::39fcf3b5ec0aa138	source_record	HEST::TENX68	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::39fcf3b5ec0aa138
EDGE::39fcf3b5ec0aa138	source_record	TENX::CytAssist_Fresh_Frozen_Human_Breast_Cancer	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::39fcf3b5ec0aa138
EDGE::4c871120d8e6460c	source_record	HEST::TENX115	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4c871120d8e6460c
EDGE::4c871120d8e6460c	source_record	TENX::Xenium_V1_hSkin_Melanoma_Base_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4c871120d8e6460c
EDGE::50e342461c4115e3	source_record	HEST::TENX190	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::50e342461c4115e3
EDGE::50e342461c4115e3	source_record	TENX::Xenium_V1_Human_Lung_Cancer_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::50e342461c4115e3
EDGE::53cd0ff082ae7cdf	source_record	HEST::TENX158	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::53cd0ff082ae7cdf
EDGE::53cd0ff082ae7cdf	source_record	TENX::Xenium_Prime_Human_Skin_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::53cd0ff082ae7cdf
EDGE::58327c1f926e1ccb	source_record	HEST::TENX90	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::f38083586889f4a0
EDGE::58327c1f926e1ccb	source_record	TENX::CytAssist_FFPE_Human_Colon_Rep1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::f38083586889f4a0
EDGE::5e297402717be6ab	source_record	HEST::TENX89	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::1cf49c017d26042e
EDGE::5e297402717be6ab	source_record	TENX::CytAssist_FFPE_Human_Colon_Rep2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::1cf49c017d26042e
EDGE::61cdc80e46a94901	source_record	HEST::TENX91	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::1cf49c017d26042e
EDGE::61cdc80e46a94901	source_record	TENX::CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::1cf49c017d26042e
EDGE::68df112eb17ddd44	source_record	HEST::TENX183	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::4df29036fb749ca6
EDGE::68df112eb17ddd44	source_record	TENX::Visium_HD_3prime_Human_Ovarian_Cancer_FF	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::4df29036fb749ca6
EDGE::7271fcc341c8fe94	source_record	HEST::TENX98	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::340b2671bc0a2b32
EDGE::7271fcc341c8fe94	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC_Big_1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::340b2671bc0a2b32
EDGE::74fa60a6d7c3890e	source_record	HEST::TENX117	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::74fa60a6d7c3890e
EDGE::74fa60a6d7c3890e	source_record	TENX::Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::74fa60a6d7c3890e
EDGE::755124e6e5720fc2	source_record	HEST::TENX182	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4df29036fb749ca6
EDGE::755124e6e5720fc2	source_record	TENX::Visium_HD_3prime_Human_Ovarian_Cancer_FF	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4df29036fb749ca6
EDGE::76c865ef52889ad1	source_record	HEST::TENX89	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::1cf49c017d26042e
EDGE::76c865ef52889ad1	source_record	TENX::CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::1cf49c017d26042e
EDGE::7892cd592e4fecfa	source_record	HEST::TENX168	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::198be741a13be4ad
EDGE::7892cd592e4fecfa	source_record	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::198be741a13be4ad
EDGE::78f3dd8f9b03d7c0	source_record	HEST::TENX171	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2c4f0f78f84f4a89
EDGE::78f3dd8f9b03d7c0	source_record	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2c4f0f78f84f4a89
EDGE::85a0e4c328f6c706	source_record	HEST::TENX134	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::85a0e4c328f6c706
EDGE::85a0e4c328f6c706	source_record	TENX::Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::85a0e4c328f6c706
EDGE::86f8b86cf99c5326	source_record	HEST::TENX189	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::86f8b86cf99c5326
EDGE::86f8b86cf99c5326	source_record	TENX::Xenium_Prime_Human_Lung_Cancer_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::86f8b86cf99c5326
EDGE::930843441157e41b	source_record	HEST::TENX139	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::930843441157e41b
EDGE::930843441157e41b	source_record	TENX::Xenium_V1_Human_Colorectal_Cancer_Addon_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::930843441157e41b
EDGE::93625e551eb18ba6	source_record	HEST::TENX116	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::93625e551eb18ba6
EDGE::93625e551eb18ba6	source_record	TENX::Xenium_V1_hPancreas_Cancer_Add_on_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::93625e551eb18ba6
EDGE::9535e4bd56cb34da	source_record	HEST::TENX174	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9535e4bd56cb34da
EDGE::9535e4bd56cb34da	source_record	TENX::Visium_HD_Human_Prostate_Cancer_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9535e4bd56cb34da
EDGE::96148622c8c9fc09	source_record	HEST::TENX183	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4df29036fb749ca6
EDGE::96148622c8c9fc09	source_record	TENX::Visium_HD_3prime_Human_Ovarian_Cancer_FF_Min_Depth	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::4df29036fb749ca6
EDGE::9742c930e73efccf	source_record	HEST::TENX120	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9742c930e73efccf
EDGE::9742c930e73efccf	source_record	TENX::Xenium_V1_hLiver_cancer_section_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9742c930e73efccf
EDGE::9ba1b149cbaf7eec	source_record	HEST::TENX70	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9ba1b149cbaf7eec
EDGE::9ba1b149cbaf7eec	source_record	TENX::CytAssist_11mm_FFPE_Human_Colorectal_Cancer	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::9ba1b149cbaf7eec
EDGE::9e7ad14ef96c3612	source_record	HEST::TENX90	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::f38083586889f4a0
EDGE::9e7ad14ef96c3612	source_record	TENX::CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::f38083586889f4a0
EDGE::a2297d68e7723d9d	source_record	HEST::TENX161	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::a2297d68e7723d9d
EDGE::a2297d68e7723d9d	source_record	TENX::Visium_HD_Human_Breast_Cancer_Fixed_Frozen	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::a2297d68e7723d9d
EDGE::a7915469f5f306d1	source_record	HEST::TENX157	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::a7915469f5f306d1
EDGE::a7915469f5f306d1	source_record	TENX::Xenium_Prime_Human_Prostate_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::a7915469f5f306d1
EDGE::b1a70c8e862c46d8	source_record	HEST::TENX111	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::47457340f2b4350f
EDGE::b1a70c8e862c46d8	source_record	TENX::Xenium_V1_hColon_Cancer_Base_FFPE	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::47457340f2b4350f
EDGE::b36db0ed61b0cbdb	source_record	HEST::TENX92	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::f38083586889f4a0
EDGE::b36db0ed61b0cbdb	source_record	TENX::CytAssist_FFPE_Human_Colon_Rep1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::f38083586889f4a0
EDGE::b5bf43971068d6a3	source_record	HEST::TENX96	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::b5bf43971068d6a3
EDGE::b5bf43971068d6a3	source_record	TENX::Xenium_V1_FFPE_Human_Breast_ILC_With_Addon	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::b5bf43971068d6a3
EDGE::b9a40cf6e60eea54	source_record	HEST::TENX91	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::1cf49c017d26042e
EDGE::b9a40cf6e60eea54	source_record	TENX::CytAssist_FFPE_Human_Colon_Rep2	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::1cf49c017d26042e
EDGE::b9df742bb53cb85b	source_record	HEST::TENX92	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::f38083586889f4a0
EDGE::b9df742bb53cb85b	source_record	TENX::CytAssist_FFPE_Human_Colon_Post_Xenium_Rep1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::f38083586889f4a0
EDGE::bad4db13a3b92edb	source_record	HEST::TENX169	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::198be741a13be4ad
EDGE::bad4db13a3b92edb	source_record	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::198be741a13be4ad
EDGE::bcc3e503be7fb64e	source_record	HEST::TENX187	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::bcc3e503be7fb64e
EDGE::bcc3e503be7fb64e	source_record	TENX::Xenium_Prime_Ovarian_Cancer_FFPE_XRrun	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::bcc3e503be7fb64e
EDGE::beabd48cf2edb8ef	source_record	HEST::TENX97	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::beabd48cf2edb8ef
EDGE::beabd48cf2edb8ef	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC_With_Addon__1.0.2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::beabd48cf2edb8ef
EDGE::c04faa8efc933285	source_record	HEST::TENX188	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c04faa8efc933285
EDGE::c04faa8efc933285	source_record	TENX::Xenium_Prime_Cervical_Cancer_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c04faa8efc933285
EDGE::c10e6ed28511ab0d	source_record	HEST::TENX128	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c10e6ed28511ab0d
EDGE::c10e6ed28511ab0d	source_record	TENX::Visium_HD_Human_Colon_Cancer__3.0.0	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c10e6ed28511ab0d
EDGE::c5ca7f1f8a17f4b5	source_record	HEST::TENX182	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::4df29036fb749ca6
EDGE::c5ca7f1f8a17f4b5	source_record	TENX::Visium_HD_3prime_Human_Ovarian_Cancer_FF_Min_Depth	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::4df29036fb749ca6
EDGE::c6418483a550873b	source_record	HEST::TENX105	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c6418483a550873b
EDGE::c6418483a550873b	source_record	TENX::Xenium_V1_hKidney_cancer_section	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::c6418483a550873b
EDGE::c73a5d4a13111265	source_record	HEST::TENX184	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b
EDGE::c73a5d4a13111265	source_record	TENX::Visium_HD_Human_Ovarian_Cancer_FF_Min_Depth	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b
EDGE::c7f4f386d2087969	source_record	HEST::TENX184	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b
EDGE::c7f4f386d2087969	source_record	TENX::Visium_HD_Human_Ovarian_Cancer_FF	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b
EDGE::cfa16cf8f973e788	source_record	HEST::TENX94	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::cfa16cf8f973e788
EDGE::cfa16cf8f973e788	source_record	TENX::Xenium_V1_FFPE_Human_Breast_ILC	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::cfa16cf8f973e788
EDGE::d45eb89f5a08cf0a	source_record	HEST::TENX163	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::d45eb89f5a08cf0a
EDGE::d45eb89f5a08cf0a	source_record	TENX::Visium_HD_Human_Lung_Cancer_Fixed_Frozen	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::d45eb89f5a08cf0a
EDGE::d529c7cad031394e	source_record	HEST::TENX171	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::2c4f0f78f84f4a89
EDGE::d529c7cad031394e	source_record	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::2c4f0f78f84f4a89
EDGE::dccbd3c6a479437c	source_record	HEST::TENX141	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::dccbd3c6a479437c
EDGE::dccbd3c6a479437c	source_record	TENX::Xenium_V1_Human_Lung_Cancer_Addon_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::dccbd3c6a479437c
EDGE::dda13dbd7bd8455c	source_record	HEST::TENX98	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::340b2671bc0a2b32
EDGE::dda13dbd7bd8455c	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC_Big_2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::340b2671bc0a2b32
EDGE::e4b1aa2b768d4e75	source_record	HEST::TENX99	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::340b2671bc0a2b32
EDGE::e4b1aa2b768d4e75	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC_Big_1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::340b2671bc0a2b32
EDGE::f69588ef29902e9a	source_record	HEST::TENX168	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::198be741a13be4ad
EDGE::f69588ef29902e9a	source_record	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::198be741a13be4ad
HTAN::BLOCK::001325fc9c03672f	asset	HTAN_VANDERBILT_CRC::8270_AS_2_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::07dc676d92f9d153
HTAN::BLOCK::0e325835a6eb2bfb	asset	HTAN_VANDERBILT_CRC::8899_AS_3_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::c591c5e150910f33
HTAN::BLOCK::0e325835a6eb2bfb	asset	HTAN_VANDERBILT_CRC::8899_AS_4_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::c591c5e150910f33
HTAN::BLOCK::0f9098457bbf2b3e	asset	HTAN_VANDERBILT_CRC::7794_AS_1_filtered_trimmed_WD33476.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::94567531ae08aa59
HTAN::BLOCK::14d93cda2705ed02	asset	HTAN_VANDERBILT_CRC::8270_AS_1_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::283e577e68cd34cf
HTAN::BLOCK::2b02e347e714b565	asset	HTAN_VANDERBILT_CRC::8270_AS_5_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::b279c0a0ecf76890
HTAN::BLOCK::31cb9c4d65cb7362	asset	HTAN_VANDERBILT_CRC::8578_AS_1_filtered_trimmed_WD33473.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::2660ebb0a070d36e
HTAN::BLOCK::32a452c0ae678140	asset	HTAN_VANDERBILT_CRC::7003_AS_3_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::7032fa6644896b13
HTAN::BLOCK::32a452c0ae678140	asset	HTAN_VANDERBILT_CRC::7003_AS_4_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::7032fa6644896b13
HTAN::BLOCK::43dd815b592dfeff	asset	HTAN_VANDERBILT_CRC::7794_AS_2_filtered_trimmed_WD33475.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::5a3d3a5b1d783fe6
HTAN::BLOCK::4ec98b1efd1d21fc	asset	HTAN_VANDERBILT_CRC::8270_AS_6_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::8d0d8f21b233f35b
HTAN::BLOCK::4ec98b1efd1d21fc	asset	HTAN_VANDERBILT_CRC::8270_AS_7_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::8d0d8f21b233f35b
HTAN::BLOCK::51bf8363c2cdb494	asset	HTAN_VANDERBILT_CRC::8270_AS_11_filtered_trimmed.h5ad	same_block	E3_explicit	CONFIRMED_METADATA_RELATION	HTAN::PATIENT::4f81822a6f2ecd63
